pid,name,category,description,price,rating,brand
P000080,Penguin Essential Biography X,Books & Education,essential biography by Penguin. Features premium materials and premium materials. Ideal for outdoor adventures and outdoor adventures. Rated 4.5+ stars by thousands.,205.5,4.8,Penguin
P000081,JBL Wireless Speaker X,Electronics,wireless speaker by JBL. Features eco-friendly materials and long-lasting durability. Ideal for creative projects and creative projects. Award-winning design.,657.71,3.9,JBL
P000082,Oxford Bestselling Self-Help Guide V2,Books & Education,The Oxford bestselling self-help guide delivers smart connectivity with easy setup. Perfect for creative projects. Free returns within 30 days.,1781.78,3.5,Oxford
P000083,Bosch Professional Parking Sensor,Automotive,The Bosch professional parking sensor delivers advanced technology with premium materials. Perfect for professional work. Award-winning design.,73.2,3.9,Bosch
P000084,Purina Premium Collar,Pet Care,Experience eco-friendly materials with the Purina premium collar. Designed for creative projects and outdoor adventures. Backed by a 2-year warranty.,760.18,4.7,Purina
P000085,Fitbit Pro Fitness Tracker,Sports & Fitness,"Experience multi-device compatibility with the Fitbit pro fitness tracker. Designed for students and beginners and outdoor adventures. Loved by 50,000+ buyers.",903.99,4.7,Fitbit
P000086,MSI Hyper Keyboard,Gaming,Experience adjustable fit with the MSI hyper keyboard. Designed for creative projects and home workouts. Free returns within 30 days.,572.33,2.9,MSI
P000087,Logitech RGB Headset,Gaming,The Logitech rgb headset delivers advanced technology with precision engineering. Perfect for creative projects. Free returns within 30 days.,1860.8,4.5,Logitech
P000088,Logitech Pro Monitor Elite,Electronics,The Logitech pro monitor delivers long-lasting durability with 360-degree coverage. Perfect for long sessions. Free returns within 30 days.,1145.72,4.1,Logitech
P000089,Logitech Wireless Earbuds Elite,Electronics,Experience premium materials with the Logitech wireless earbuds. Designed for everyday use and professionals and experts. Ships same day.,2166.37,4.0,Logitech
P000090,H&M Vintage Wallet X,Fashion & Accessories,Experience superior build quality with the H&M vintage wallet. Designed for professionals and experts and professional work. Backed by a 2-year warranty.,244.0,4.5,H&M
P000091,Arteza Artist-Grade Easel,Art & Design,The Arteza artist-grade easel delivers compact form factor with waterproof protection. Perfect for students and beginners. Trusted by professionals.,2464.59,4.6,Arteza
P000092,K&F Concept Wireless Camera Strap,Photography,Experience multi-device compatibility with the K&F Concept wireless camera strap. Designed for home workouts and outdoor adventures. Free returns within 30 days.,2130.49,4.7,K&F Concept
P000093,Manduka Elite Jump Rope Lite,Sports & Fitness,The Manduka elite jump rope delivers long-lasting durability with ultra-lightweight construction. Perfect for travel and commuting. Rated 4.5+ stars by thousands.,2219.68,4.5,Manduka
P000094,McGraw-Hill Guided Budget Planner,Personal Finance,Experience ultra-lightweight construction with the McGraw-Hill guided budget planner. Designed for travel and commuting and professional work. Rated 4.5+ stars by thousands.,142.83,3.8,McGraw-Hill
P000095,Prestige Cast Iron Wok,Kitchen & Cooking,The Prestige cast iron wok delivers superior build quality with advanced technology. Perfect for outdoor adventures. Backed by a 2-year warranty.,269.04,3.9,Prestige
P000096,Black+Decker Universal Tyre Inflator,Automotive,Experience superior build quality with the Black+Decker universal tyre inflator. Designed for home workouts and professional work. Free returns within 30 days.,733.57,5.0,Black+Decker
P000097,Prestige Non-Stick Wok X,Kitchen & Cooking,Experience compact form factor with the Prestige non-stick wok. Designed for athletes and enthusiasts and everyday use. Award-winning design.,103.35,4.6,Prestige
P000098,Hill's Premium Training Treats V2,Pet Care,"premium training treats by Hill's. Features smart connectivity and premium materials. Ideal for travel and commuting and professionals and experts. Loved by 50,000+ buyers.",2206.97,3.5,Hill's
P000099,Mont Marte Portable Sketchbook Max,Art & Design,Experience whisper-quiet operation with the Mont Marte portable sketchbook. Designed for athletes and enthusiasts and athletes and enthusiasts. Award-winning design.,1963.39,3.6,Mont Marte
P000100,Pacsafe Waterproof Neck Pillow Pro,Travel & Outdoors,Experience adjustable fit with the Pacsafe waterproof neck pillow. Designed for athletes and enthusiasts and students and beginners. Free returns within 30 days.,2252.36,4.1,Pacsafe
P000101,Samsung Turbo SSD Elite,Electronics,"The Samsung turbo ssd delivers waterproof protection with advanced technology. Perfect for athletes and enthusiasts. Loved by 50,000+ buyers.",2121.31,3.7,Samsung
P000102,Apple Smart Webcam,Electronics,Experience premium materials with the Apple smart webcam. Designed for students and beginners and outdoor adventures. Free returns within 30 days.,1591.4,3.8,Apple
P000103,Fitbit Max Gym Bag,Sports & Fitness,The Fitbit max gym bag delivers fast performance with advanced technology. Perfect for long sessions. Trusted by professionals.,519.88,3.4,Fitbit
P000104,HyperX Mechanical Keyboard,Gaming,Experience 360-degree coverage with the HyperX mechanical keyboard. Designed for students and beginners and professionals and experts. Trusted by professionals.,647.67,4.0,HyperX
P000105,Ray-Ban Luxe Sunglasses V2,Fashion & Accessories,luxe sunglasses by Ray-Ban. Features fast performance and adjustable fit. Ideal for travel and commuting and home workouts. Ships same day.,787.5,4.4,Ray-Ban
P000106,Guess Premium Wallet Lite,Fashion & Accessories,The Guess premium wallet delivers superior build quality with multi-device compatibility. Perfect for home workouts. Ships same day.,84.12,3.7,Guess
P000107,Chemical Guys Portable Seat Cover Plus,Automotive,portable seat cover by Chemical Guys. Features long-lasting durability and 360-degree coverage. Ideal for home workouts and everyday use. Backed by a 2-year warranty.,434.34,4.1,Chemical Guys
P000108,Bark Natural Cat Tree V2,Pet Care,"natural cat tree by Bark. Features compact form factor and superior build quality. Ideal for athletes and enthusiasts and travel and commuting. Loved by 50,000+ buyers.",886.63,4.2,Bark
P000109,Corsair Wireless Monitor Lite,Gaming,wireless monitor by Corsair. Features adjustable fit and whisper-quiet operation. Ideal for professional work and students and beginners. Trusted by professionals.,1514.17,5.0,Corsair
P000110,Instant Pot Professional Air Fryer Lite,Kitchen & Cooking,Experience whisper-quiet operation with the Instant Pot professional air fryer. Designed for long sessions and everyday use. Trusted by professionals.,254.9,3.9,Instant Pot
P000111,Casio Minimalist Watch X,Fashion & Accessories,minimalist watch by Casio. Features waterproof protection and eco-friendly materials. Ideal for everyday use and outdoor adventures. Ships same day.,929.34,4.9,Casio
P000112,KitchenAid Smart Air Fryer SE,Kitchen & Cooking,"smart air fryer by KitchenAid. Features fast performance and waterproof protection. Ideal for everyday use and everyday use. Loved by 50,000+ buyers.",2288.4,4.1,KitchenAid
P000113,Cuisinart Professional Coffee Maker,Kitchen & Cooking,Experience eco-friendly materials with the Cuisinart professional coffee maker. Designed for professional work and home workouts. Trusted by professionals.,2165.26,4.1,Cuisinart
P000114,Reebok Pro Dumbbell Set SE,Sports & Fitness,pro dumbbell set by Reebok. Features 360-degree coverage and ultra-lightweight construction. Ideal for professional work and professionals and experts. Free returns within 30 days.,243.36,3.6,Reebok
P000115,Zara Vintage Wallet Plus,Fashion & Accessories,The Zara vintage wallet delivers adjustable fit with waterproof protection. Perfect for travel and commuting. Rated 4.5+ stars by thousands.,1976.04,4.3,Zara
P000116,Moleskine Student Pastel Set,Art & Design,Experience eco-friendly materials with the Moleskine student pastel set. Designed for home workouts and outdoor adventures. Backed by a 2-year warranty.,2481.42,4.1,Moleskine
P000117,HarperCollins Illustrated Psychology Plus,Books & Education,Experience fast performance with the HarperCollins illustrated psychology. Designed for professional work and athletes and enthusiasts. Free returns within 30 days.,1782.5,5.0,HarperCollins
P000118,Secretlab RGB Capture Card Plus,Gaming,rgb capture card by Secretlab. Features adjustable fit and compact form factor. Ideal for professional work and professionals and experts. Rated 4.5+ stars by thousands.,1777.02,4.0,Secretlab
P000119,KitchenAid Multi-Function Toaster Plus,Kitchen & Cooking,The KitchenAid multi-function toaster delivers ultra-lightweight construction with 360-degree coverage. Perfect for students and beginners. Backed by a 2-year warranty.,1935.9,4.3,KitchenAid
P000120,Black+Decker Universal Dash Cam,Automotive,universal dash cam by Black+Decker. Features premium materials and precision engineering. Ideal for students and beginners and creative projects. Ships same day.,539.0,4.4,Black+Decker
P000121,Clever Fox Undated Tax Organiser,Personal Finance,undated tax organiser by Clever Fox. Features 360-degree coverage and long-lasting durability. Ideal for athletes and enthusiasts and long sessions. Award-winning design.,1999.01,3.8,Clever Fox
P000122,Asics Power Dumbbell Set SE,Sports & Fitness,power dumbbell set by Asics. Features ergonomic design and ergonomic design. Ideal for professionals and experts and professionals and experts. Award-winning design.,112.39,5.0,Asics
P000123,Boss Portable Ukulele,Music & Instruments,portable ukulele by Boss. Features multi-device compatibility and adjustable fit. Ideal for professional work and professional work. Award-winning design.,1507.3,4.7,Boss
P000124,Hawkins Smart Stand Mixer SE,Kitchen & Cooking,The Hawkins smart stand mixer delivers ultra-lightweight construction with adjustable fit. Perfect for home workouts. Backed by a 2-year warranty.,377.36,3.3,Hawkins
P000125,Mont Marte Portable Colour Pencils SE,Art & Design,portable colour pencils by Mont Marte. Features compact form factor and ultra-lightweight construction. Ideal for outdoor adventures and professionals and experts. Free returns within 30 days.,1298.1,3.9,Mont Marte
P000126,Joseph Joseph Adjustable Smart Bulb Lite,Home & Living,"Experience premium materials with the Joseph Joseph adjustable smart bulb. Designed for long sessions and students and beginners. Loved by 50,000+ buyers.",429.7,3.9,Joseph Joseph
P000127,Clever Fox Guided Savings Log Lite,Personal Finance,guided savings log by Clever Fox. Features multi-device compatibility and smart connectivity. Ideal for home workouts and creative projects. Rated 4.5+ stars by thousands.,15.68,3.4,Clever Fox
P000128,Oxford Bestselling Science Book V2,Books & Education,bestselling science book by Oxford. Features compact form factor and smart connectivity. Ideal for students and beginners and creative projects. Backed by a 2-year warranty.,1604.39,3.8,Oxford
P000129,Godox Portable Lens Filter X,Photography,portable lens filter by Godox. Features eco-friendly materials and ultra-lightweight construction. Ideal for outdoor adventures and athletes and enthusiasts. Rated 4.5+ stars by thousands.,1335.04,3.4,Godox
P000130,Corsair Tactile Capture Card X,Gaming,Experience waterproof protection with the Corsair tactile capture card. Designed for everyday use and everyday use. Rated 4.5+ stars by thousands.,2474.68,3.5,Corsair
P000131,Nest Modern Wall Clock Elite,Home & Living,"The Nest modern wall clock delivers long-lasting durability with precision engineering. Perfect for professional work. Loved by 50,000+ buyers.",1224.36,5.0,Nest
P000132,Penguin Award-Winning Self-Help Guide SE,Books & Education,Experience compact form factor with the Penguin award-winning self-help guide. Designed for students and beginners and home workouts. Trusted by professionals.,1850.62,4.0,Penguin
P000133,Sony Nano Headphones,Electronics,Experience compact form factor with the Sony nano headphones. Designed for athletes and enthusiasts and outdoor adventures. Free returns within 30 days.,1729.98,3.2,Sony
P000134,Peak Design Professional Ring Light SE,Photography,Experience ultra-lightweight construction with the Peak Design professional ring light. Designed for professionals and experts and everyday use. Ships same day.,1485.39,4.1,Peak Design
P000135,Corsair Wireless Gaming Mouse V2,Gaming,The Corsair wireless gaming mouse delivers eco-friendly materials with ultra-lightweight construction. Perfect for long sessions. Free returns within 30 days.,362.46,4.1,Corsair
P000136,Peak Design Portable Light Box Max,Photography,The Peak Design portable light box delivers eco-friendly materials with ultra-lightweight construction. Perfect for professional work. Backed by a 2-year warranty.,2169.64,5.0,Peak Design
P000137,Chemical Guys Universal Car Charger,Automotive,universal car charger by Chemical Guys. Features compact form factor and eco-friendly materials. Ideal for professionals and experts and professional work. Trusted by professionals.,1769.15,4.0,Chemical Guys
P000138,Armor All Wireless Seat Cover,Automotive,Experience 360-degree coverage with the Armor All wireless seat cover. Designed for athletes and enthusiasts and athletes and enthusiasts. Free returns within 30 days.,1617.99,3.3,Armor All
P000139,Shure Wireless Drum Pad,Music & Instruments,"wireless drum pad by Shure. Features ergonomic design and 360-degree coverage. Ideal for everyday use and athletes and enthusiasts. Loved by 50,000+ buyers.",952.48,4.1,Shure
P000140,Lifx Compact Throw Blanket X,Home & Living,The Lifx compact throw blanket delivers superior build quality with waterproof protection. Perfect for outdoor adventures. Trusted by professionals.,1410.11,4.7,Lifx
P000141,Calm Pure Massage Gun V2,Health & Wellness,pure massage gun by Calm. Features superior build quality and smart connectivity. Ideal for professional work and long sessions. Free returns within 30 days.,136.37,4.6,Calm
P000142,Moleskine Structured Tax Organiser Lite,Personal Finance,The Moleskine structured tax organiser delivers smart connectivity with ergonomic design. Perfect for creative projects. Award-winning design.,2146.92,2.6,Moleskine
P000143,Manfrotto Portable Backdrop V2,Photography,portable backdrop by Manfrotto. Features multi-device compatibility and ergonomic design. Ideal for long sessions and professional work. Backed by a 2-year warranty.,1818.73,4.5,Manfrotto
P000144,Furminator Durable Dog Toy SE,Pet Care,The Furminator durable dog toy delivers eco-friendly materials with ultra-lightweight construction. Perfect for long sessions. Award-winning design.,1579.89,4.5,Furminator
P000145,Coach Bold Bracelet,Fashion & Accessories,The Coach bold bracelet delivers superior build quality with fast performance. Perfect for long sessions. Trusted by professionals.,1897.78,4.8,Coach
